Time	Node	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
50.5786	IE-C004	24	3_1080	14756732	10	0	
50.5802	ES-C003	24	3_1080	14740762	10	0	
50.5806	ES-C002	24	3_1080	14740762	10	0	
50.5816	IE-C001	24	3_1080	14756732	10	0	
50.5836	IE-C003	24	3_1080	14756732	10	0	
50.5846	ES-C001	24	3_1080	14740762	10	0	
50.6006	ES-C006	24	3_1080	14740762	10	0	
52.5372	IE-C005	25	3_1080	14740762	8	0	
52.5432	IE-C006	25	3_1080	14740762	8	0	
52.5572	ES-C005	25	3_1080	14740762	8	0	
52.5597	ES-C004	25	3_1080	14740762	8	0	
52.5786	IE-C002	25	3_1080	14740762	8	0	
52.5786	IE-C004	25	3_1080	14740762	8	0	
52.5802	ES-C003	25	3_1080	14740762	8	0	
52.5806	ES-C002	25	3_1080	14740762	8	0	
52.5816	IE-C001	25	3_1080	14740762	8	0	
52.5836	IE-C003	25	3_1080	14740762	8	0	
52.5846	ES-C001	25	3_1080	14740762	8	0	
52.6006	ES-C006	25	3_1080	14740762	8	0	
54.5372	IE-C005	26	3_1080	14629929	6	0	
54.5432	IE-C006	26	3_1080	14629929	6	0	
54.5572	ES-C005	26	3_1080	14645660	6	0	
54.5597	ES-C004	26	3_1080	14645660	6	0	
54.5786	IE-C002	26	3_1080	14629929	6	0	
54.5786	IE-C004	26	3_1080	14629929	6	0	
54.5802	ES-C003	26	3_1080	14645660	6	0	
54.5806	ES-C002	26	3_1080	14645660	6	0	
54.5816	IE-C001	26	3_1080	14629929	6	0	
54.5836	IE-C003	26	3_1080	14629929	6	0	
54.5846	ES-C001	26	3_1080	14645660	6	0	
54.6006	ES-C006	26	3_1080	14645660	6	0	
56.5372	IE-C005	27	3_1080	14693057	4	0	
56.5432	IE-C006	27	3_1080	14693057	4	0	
56.5572	ES-C005	27	3_1080	14677224	4	0	
56.5597	ES-C004	27	3_1080	14677224	4	0	
56.5786	IE-C002	27	3_1080	14693057	4	0	
56.5786	IE-C004	27	3_1080	14693057	4	0	
56.5802	ES-C003	27	3_1080	14661425	4	0	
56.5806	ES-C002	27	3_1080	14677224	4	0	
56.5816	IE-C001	27	3_1080	14693057	4	0	
56.5836	IE-C003	27	3_1080	14693057	4	0	
56.5846	ES-C001	27	3_1080	14677224	4	0	
56.6006	ES-C006	27	3_1080	14661425	4	0	
58.5372	IE-C005	28	3_1080	13870126	2	0	
58.5432	IE-C006	28	3_1080	13870126	2	0	
58.5572	ES-C005	28	3_1080	27405360	2	0	
58.5597	ES-C004	28	3_1080	27350330	2	0	
58.5786	IE-C002	28	3_1080	35377828	2	0	
58.5786	IE-C004	28	3_1080	35377828	2	0	
58.5802	ES-C003	28	3_1080	27350330	2	0	
58.5806	ES-C002	28	3_1080	27405360	2	0	
58.5816	IE-C001	28	3_1080	35377828	2	0	
58.5836	IE-C003	28	3_1080	35377828	2	0	
58.5846	ES-C001	28	3_1080	27405360	2	0	
58.6006	ES-C006	28	3_1080	27405360	2	0	
60.5372	IE-C005	29	3_1080	13969707	0	0	
60.5432	IE-C006	29	3_1080	35104288	0	0	
60.5572	ES-C005	29	3_1080	27740252	0	0	
60.5597	ES-C004	29	3_1080	27683870	0	0	
60.5786	IE-C002	29	3_1080	23646638	0	0	
60.5786	IE-C004	29	3_1080	23853702	0	0	
60.5802	ES-C003	29	3_1080	27627716	0	0	
60.5806	ES-C002	29	3_1080	27740252	0	0	
60.5816	IE-C001	29	3_1080	23812000	0	0	
60.5836	IE-C003	29	3_1080	23687764	0	0	
60.5846	ES-C001	29	3_1080	27683870	0	0	
60.6006	ES-C006	29	3_1080	27683870	0	0	
